Name,HMIS Code,FacilityType,AgencyName,OperationalStatus,DistrictName,Latitude,Longitude,Address,ContactPhone,HasRefrigerator,HasPower,StaffCount,CatchmentRadius
Galaxy Medical Centre,3946138551,clinic,,,Mbale,1.12424787,34.16807086,mbale,,,,,
ST JOSEPH YERYA,11001734062,hospital,,,Bunyangabu,0.48561415,30.19180789,,,,,,
Kings Medical Clinic,10583475415,clinic,private,,Hoima,1.42599068,31.34207297,Hoima,,,,,
Sweswe OutPost,6210374893,doctors,Clinical Officer,yes,Kyegegwa,0.36347163,31.10782166,,,,,3,
LAZEBU,11066741240,hospital,,,Arua,2.72670565,30.92889259,,,,,,
Save Life Drug Shop,10198909178,pharmacy,private,,Lira,2.24006333,32.88496945,Lira,,,,1,
ABEDI HEALTH CENTRE II,11073166780,hospital,,,Apac,2.04131298,32.59531385,,,,,,
Uleppi Trading Centre,5354389847,doctors,,operational,Madi Okollo,2.77287325,31.03746665,,,,,,
NANTABULIRWA HEALTH CENTRE 2,11010338061,clinic,,,Mukono,0.34097318,32.72032574,,,,,,
LAROPI,11054959815,hospital,,,Moyo,3.57473087,31.83077498,,,,,,
KIKUBE,11010338012,clinic,,,Kampala,0.35638909,32.61336813,,,,,,
KASHOZI PARISH H/C II,11007308922,hospital,,,Ibanda,0.01367445,30.54159837,,,,,,
Comrade clinic,9124388848,clinic,,,Mbale,1.07433573,34.17987467,,,,,,
Bwama Health Center III,7823304,clinic,,,Kabale,-1.29473402,29.92363057,,,,,,
Lacor Hospital,10102721866,hospital,,,Gulu,2.77445308,32.29911457,,,,,,
Lira Medical Diogonistic Clinic,9909142408,doctor,,,Lira,2.23947878,32.89557139,,,,,,
HOLY INNOCENT CHILDREN'S HOSPITAL,11007308973,hospital,,,Mbarara,-0.62323126,30.64672873,,,,,,
SAFER MEDICAL CENTRE,11010338470,hospital,,,Mukono,0.36958933,32.71178735,,,,,,
PABO HC III,11080473484,hospital,,,Amuru,3.00322296,32.14544897,,,,,,
